Id,Time,Longitude,Latitude,type
1165,8,2999.5053491,4378.92287045,router
1166,8,5603.21094778,7414.83414612,router
1167,8,8092.17591934,3968.99289016,router
1168,8,1870.45353895,2673.62040425,router
1169,8,1283.44418823,2540.52973737,router
1170,8,3286.19445253,2390.59422484,router
1171,8,5859.79798433,1642.45203145,router
1172,8,1975.3042682,5344.93517387,router
1173,8,3696.28515211,5763.5448736,router
1174,8,8004.7205219,6155.29823729,router
1175,8,3390.74712451,3197.94428293,router
1176,8,4490.74339306,7508.71344021,router
1177,8,4926.04005207,4359.99735712,router
1178,8,6385.1075618,684.9855913,router
1179,8,7017.4186761,2497.07848506,router
1180,8,8829.91124551,5885.82744154,router
1181,8,7742.957285,2044.69040889,router
1182,8,2405.31371293,5432.35957579,router
1183,8,7140.65201105,2101.95806932,router
1184,8,7371.92156275,5629.70662114,router
