Id,Time,Longitude,Latitude,type
1000,8,8729.96415896,4278.24310513,router
1001,8,4605.05161632,5707.56307398,router
1002,8,3038.62588107,5932.23361569,router
1003,8,6437.79204373,6611.60815385,router
1004,8,281.0420795,5894.30472313,router
1005,8,5609.74517227,6122.67797102,router
1006,8,6183.72082041,2939.63461266,router
1007,8,6479.85444738,3811.58104931,router
1008,8,4504.50186109,7355.39744244,router
1009,8,8190.32980458,2603.76020323,router
1010,8,3881.83281015,4175.90653626,router
1011,8,2784.04909033,6870.53349905,router
1012,8,3041.98506398,2988.1405963,router
1013,8,4293.82895181,1118.85634735,router
1014,8,5046.51101886,8360.37675646,router
1015,8,7886.49604523,1971.9177136,router
1016,8,7745.4364752,1658.50856235,router
1017,8,5581.95062248,5459.94611738,router
1018,8,6264.78113601,4898.64309474,router
1019,8,6856.59824373,8177.52188185,router
1020,8,4741.04442468,6998.15403973,router
1021,8,5018.59565691,3126.77359741,router
1022,8,3697.25202502,4397.24333513,router
1023,8,9566.6119289,4179.66827075,router
1024,8,2890.24102901,7546.35750818,router
1025,8,7192.45741567,3701.84130728,router
1026,8,7238.96284789,6271.59128681,router
1027,8,2033.14448991,2813.04894609,router
1028,8,5047.36536084,6196.60098261,router
1029,8,5114.13941153,2859.47631858,router
1030,8,2458.68463244,6527.17161025,router
1031,8,4505.62295026,4037.70873025,router
1032,8,8696.85024537,5069.15979865,router
1033,8,3833.67441936,5269.90782906,router
1034,8,2569.55392686,3186.75955902,router
1035,8,5479.09236412,2229.30597195,router
1036,8,807.266856359,6113.17920315,router
1037,8,7432.87323116,9136.07125428,router
1038,8,6139.25551539,4348.13130075,router
1039,8,7316.97718528,7683.91804505,router
1040,8,4649.32991213,735.267814216,router
1041,8,1613.09996173,4886.88456301,router
1042,8,6759.13677352,3285.6498388,router
1043,8,8043.29687881,3644.92072703,router
1044,8,6595.34806514,5556.73512035,router
1045,8,5273.78106105,7530.24184515,router
1046,8,8623.00424792,8477.02366005,router
1047,8,1513.50601756,8646.99615601,router
1048,8,6266.60354993,3675.25264213,router
1049,8,4492.73577112,6672.09226083,router
1050,8,2247.47927472,8063.12031999,router
1051,8,7813.10032224,7554.79792775,router
1052,8,6830.78404126,4607.05410435,router
1053,8,7974.94544206,4859.53266752,router
1054,8,6471.05681428,8842.43471377,router
1055,8,5379.4808775,6588.38925185,router
1056,8,3177.45750952,5658.60873377,router
1057,8,3308.80900679,5778.21180349,router
1058,8,4652.71692433,7887.40419364,router
1059,8,6249.00687157,7422.18250188,router
1060,8,3587.31428263,1804.04097462,router
1061,8,4866.00730769,3781.58460079,router
1062,8,4985.47871804,8325.35290251,router
1063,8,6290.13672495,2206.77149995,router
1064,8,5547.63624511,3857.07569696,router
1065,8,6143.79522872,6801.93384995,router
1066,8,3825.01327351,7780.55345583,router
1067,8,5422.40253704,6084.03061389,router
1068,8,6955.39057494,6891.17614253,router
1069,8,3146.16365993,3924.39210326,router
1070,8,3382.37989985,1437.73608074,router
1071,8,400.334924445,4881.98120464,router
1072,8,1995.75042569,5555.6457383,router
1073,8,7674.12541433,6437.31379126,router
1074,8,3868.89055414,2727.90767126,router
1075,8,3217.21486203,8391.891013,router
1076,8,9033.01070123,3157.34670793,router
1077,8,4257.07460697,3076.10360556,router
1078,8,1447.85893626,6565.01618865,router
1079,8,1264.11997485,5744.19518294,router
1080,8,7504.10761576,4280.95591341,router
1081,8,6250.18333702,1739.06627084,router
1082,8,2180.67267463,4448.7918317,router
1083,8,4552.10128836,4597.12452179,router
1084,8,2243.20898149,2132.61518872,router
1085,8,4126.94812618,5092.69575744,router
1086,8,4168.37848846,7278.39241749,router
1087,8,2225.92119183,6343.01177634,router
1088,8,5135.72673431,8530.89213518,router
1089,8,5548.89125352,8491.38965925,router
1090,8,4888.98738148,4955.56777799,router
1091,8,5779.97142122,4946.04035988,router
1092,8,1614.47244677,1924.6587531,router
1093,8,8791.85224872,6677.61570984,router
1094,8,2957.14070773,6685.57395603,router
1095,8,7364.28442264,6656.01298758,router
1096,8,1541.83922064,1080.14493328,router
1097,8,5173.20297911,5375.45360695,router
1098,8,6048.51522623,7841.57610329,router
1099,8,4164.97337622,6569.13099682,router
1100,8,8339.66032782,8066.00594918,router
1101,8,5144.40963788,7167.69602651,router
1102,8,3609.27604317,5136.37532007,router
1103,8,6577.74656358,7402.66318709,router
1104,8,3313.45051298,4508.4134151,router
1105,8,3460.1494945,6736.60031834,router
1106,8,6400.0813356,1537.51216021,router
1107,8,4165.91456775,8676.80832574,router
1108,8,8607.44882043,1468.98100733,router
1109,8,5045.09067475,2456.7331605,router
1110,8,2958.51858863,3596.86643821,router
1111,8,7728.47516828,6935.14551756,router
1112,8,6328.69895869,9114.90793431,router
1113,8,3575.9890809,4693.71511909,router
1114,8,9440.79160093,6439.59781354,router
1115,8,4507.2383564,6353.79318089,router
1116,8,5927.57767016,2494.09042895,router
1117,8,3864.47178123,4411.21542978,router
1118,8,7997.89799461,3862.1701858,router
1119,8,8926.08033195,3677.88649738,router
1120,8,4651.88549301,5138.86113533,router
1121,8,7762.59320963,3633.69076524,router
1122,8,6114.45458417,5637.86741472,router
1123,8,4712.53694639,3698.6299505,router
1124,8,7798.84852715,5071.119266,router
1125,8,5902.37229854,5017.11639135,router
1126,8,7367.16962136,5509.52299728,router
1127,8,4022.58086384,8490.67190494,router
1128,8,4450.65754989,3630.37000759,router
1129,8,2844.25626886,1328.59895371,router
1130,8,8132.46609987,2943.45994954,router
1131,8,1311.50771139,5942.22260221,router
1132,8,3188.90682992,5367.22745589,router
1133,8,8831.73141742,7204.77102955,router
1134,8,5215.99642763,5186.64991655,router
1135,8,6624.58732121,5935.80904092,router
1136,8,4494.59113396,2099.58706255,router
1137,8,1266.38791845,6892.13256093,router
1138,8,2029.10693892,4591.16633935,router
1139,8,7285.77537415,2679.35312083,router
1140,8,2932.0263369,8101.54079548,router
1141,8,761.999137898,1321.06201935,router
1142,8,3742.05981639,6714.39546571,router
1143,8,8561.98133751,2460.29720371,router
1144,8,1146.83232554,8009.96608819,router
1145,8,2658.13958059,8480.50505611,router
1146,8,901.401207908,8713.7325686,router
1147,8,1269.39931616,9058.61345024,router
1148,8,2138.01416822,3842.96122372,router
1149,8,7407.40269331,4767.15674738,router
1150,8,5436.92064316,4407.47708702,router
1151,8,7449.9751716,4350.25683979,router
1152,8,4718.6295868,2878.73688844,router
1153,8,6474.05669579,6359.61727862,router
1154,8,2758.60682368,4417.1000089,router
1155,8,7815.38944473,2792.57747069,router
1156,8,5890.92842321,2780.69222317,router
1157,8,5176.29064543,4495.22994413,router
1158,8,6128.24672665,5902.04009445,router
1159,8,1627.18388199,7708.94681617,router
1160,8,3996.17552789,2189.87077496,router
1161,8,4278.32949983,6545.40526556,router
1162,8,2326.01379191,2846.30640134,router
1163,8,1563.22913718,4890.42695108,router
1164,8,3033.0977153,498.410404189,router
