Id,Time,Longitude,Latitude,type
1087,3,4051.52523483,4269.22297511,router
1088,3,7232.55711726,4186.38283747,router
1089,3,3649.42366854,6947.37376542,router
1090,3,8372.76751384,3514.33771189,router
1091,3,8905.88331965,2397.36201124,router
1092,3,5379.55283463,2665.44376108,router
1093,3,5881.70665451,9013.43451986,router
1094,3,4707.27266538,5775.12559399,router
1095,3,1284.1878981,5201.666897,router
1096,3,4745.90714372,2192.80702489,router
1097,3,3491.24042045,8573.85407268,router
1098,3,4455.19643454,1040.67490809,router
1099,3,9386.19307885,2604.45566899,router
1100,3,9447.49029671,4783.46207514,router
1101,3,6829.0077848,4879.08504606,router
1102,3,7875.48374697,5350.00526502,router
1103,3,8081.46089619,718.264218191,router
1104,3,6172.60085777,4905.99287282,router
1105,3,6115.43439194,1314.56303654,router
1106,3,5079.45345612,2113.55450885,router
1107,3,7309.41985418,3009.56834704,router
1108,3,6278.52770816,7795.93623727,router
1109,3,6866.61924244,3213.95932518,router
1110,3,2572.35960226,6606.92320391,router
1111,3,4118.93695949,7202.63877006,router
1112,3,5249.60560882,6409.38158406,router
1113,3,5737.14245968,5454.02570615,router
1114,3,5877.41752783,7077.14294683,router
1115,3,3910.60357609,4936.45754853,router
1116,3,6982.18979505,3584.77879168,router
1117,3,2561.63147237,2727.95937261,router
1118,3,7091.31499215,894.559604155,router
1119,3,7136.20325604,8323.18123832,router
1120,3,7003.19762213,5706.27632285,router
1121,3,6829.76098019,7034.34684738,router
1122,3,2457.57915599,9395.36578689,router
1123,3,1952.63876462,5801.7154635,router
1124,3,6547.64716836,2651.61500152,router
1125,3,7274.39532568,2768.66491894,router
1126,3,8747.9873634,3896.2688302,router
1127,3,1355.001868,6883.68704982,router
1128,3,3667.38573343,5144.3880845,router
1129,3,8227.14845005,2027.78390794,router
1130,3,7172.03486453,2230.38051867,router
1131,3,1122.87310633,7288.90233118,router
1132,3,4384.89687526,8354.61451221,router
1133,3,4238.64480933,5566.78310386,router
1134,3,4854.85361872,3409.58046417,router
1135,3,2133.32099857,8367.63073876,router
1136,3,5486.08598848,5338.03047778,router
1137,3,5226.6951843,5944.2304248,router
1138,3,104.46315784,4889.53626169,router
1139,3,2316.16336798,7171.17221951,router
1140,3,6036.1138682,3367.07369788,router
1141,3,5565.58067053,5259.03273042,router
1142,3,8264.17827476,8293.23308338,router
1143,3,2776.10905268,8005.12376117,router
1144,3,3412.7368549,1057.341775,router
1145,3,8402.94522909,3878.54225926,router
1146,3,5490.60483184,3482.93731583,router
1147,3,7961.6687187,3106.1794918,router
1148,3,720.362165386,7698.0968775,router
1149,3,6166.68473555,7056.50229489,router
1150,3,7434.89903684,3160.66298413,router
1151,3,3631.92645997,6475.46807512,router
1152,3,6947.84803539,7949.77169363,router
1153,3,1974.26234225,6514.48985608,router
1154,3,6588.61898081,1790.8545627,router
1155,3,7140.09868888,8872.70585938,router
1156,3,4561.75009626,8720.6033167,router
1157,3,966.012355274,4553.7547072,router
1158,3,5562.54403778,6320.14302486,router
1159,3,3078.37109094,372.802367114,router
1160,3,7671.11491735,3632.5264499,router
1161,3,8843.74093733,6791.66499006,router
1162,3,9085.22836668,3132.00239622,router
1163,3,6386.79010256,573.223367367,router
1164,3,8418.55670887,1416.41595674,router
1165,3,8811.62076237,6802.623573,router
1166,3,3264.35229006,2389.91504172,router
1167,3,4904.31247343,4655.26750203,router
1168,3,7344.85246294,2042.06607595,router
1169,3,3859.08017283,3928.49399966,router
1170,3,4348.20069132,1145.64247019,router
1171,3,236.357621177,4256.45573619,router
1172,3,3456.06868525,5072.72523646,router
1173,3,8531.57232037,1090.32206621,router
1174,3,4292.81785223,6743.3982598,router
