Time,Source,Target
9,1136,0
9,1146,1
9,1077,2
9,1000,3
9,1001,5
9,1002,6
9,1044,7
9,1131,8
9,1003,9
9,1021,10
9,1051,11
9,1178,12
9,1122,14
9,1097,16
9,1143,17
9,1043,18
9,1066,19
9,1046,20
9,1041,21
9,1023,22
9,1004,23
9,1166,24
9,1168,26
9,1022,27
9,1151,28
9,1159,29
9,1059,30
9,1041,31
9,1005,32
9,1162,33
9,1165,34
9,1102,35
9,1117,36
9,1094,37
9,1027,38
9,1105,39
9,1006,40
9,1133,41
9,1120,42
9,1145,43
9,1007,44
9,1002,45
9,1150,46
9,1178,47
9,1172,49
9,1144,50
9,1131,51
9,1136,52
9,1058,53
9,1041,55
9,1093,56
9,1008,57
9,1046,58
9,1082,59
9,1009,60
9,1163,61
9,1010,62
9,1151,63
9,1009,64
9,1143,65
9,1011,66
9,1034,67
9,1172,68
9,1176,69
9,1027,70
9,1108,71
9,1085,72
9,1000,73
9,1127,74
9,1011,75
9,1013,76
9,1012,77
9,1178,78
9,1095,79
9,1146,80
9,1013,81
9,1014,82
9,1015,84
9,1022,86
9,1016,87
9,1017,88
9,1107,89
9,1091,90
9,1094,91
9,1087,92
9,1049,94
9,1139,95
9,1045,96
9,1140,97
9,1073,98
9,1018,99
9,1019,100
9,1091,101
9,1006,102
9,1020,103
9,1165,104
9,1164,105
9,1089,106
9,1066,107
9,1133,108
9,1014,109
9,1138,110
9,1176,111
9,1007,112
9,1166,113
9,1032,114
9,1112,115
9,1144,117
9,1037,118
9,1102,119
9,1010,120
9,1144,121
9,1160,122
9,1153,123
9,1024,124
9,1077,125
9,1096,126
9,1021,127
9,1024,129
9,1155,130
9,1134,131
9,1022,132
9,1047,133
9,1103,134
9,1023,135
9,1052,136
9,1170,137
9,1014,138
9,1115,139
9,1024,140
9,1106,141
9,1065,142
9,1091,143
9,1035,145
9,1167,146
9,1148,147
9,1025,148
9,1056,152
9,1026,153
9,1053,154
9,1038,157
9,1166,158
9,1023,159
9,1108,160
9,1160,161
9,1027,162
9,1124,163
9,1085,164
9,1010,165
9,1034,167
9,1055,168
9,1028,169
9,1029,170
9,1038,171
9,1138,172
9,1056,173
9,1030,174
9,1041,175
9,1060,176
9,1067,177
9,1170,178
9,1162,179
9,1100,180
9,1020,181
9,1027,182
9,1068,183
9,1005,184
9,1097,185
9,1037,186
9,1003,187
9,1136,188
9,1175,190
9,1002,191
9,1031,192
9,1145,193
9,1133,194
9,1052,195
9,1018,196
9,1032,197
9,1082,198
9,1055,199
9,1143,200
9,1033,202
9,1172,203
9,1034,204
9,1165,205
9,1035,206
9,1087,207
9,1023,208
9,1176,209
9,1062,210
9,1052,211
9,1041,212
9,1048,213
9,1041,214
9,1022,215
9,1036,216
9,1037,217
9,1167,218
9,1064,219
9,1051,220
9,1038,221
9,1039,222
9,1071,224
9,1040,225
9,1128,226
9,1041,227
9,1010,228
9,1146,229
9,1140,230
9,1042,231
9,1043,232
9,1123,233
9,1178,234
9,1001,235
9,1044,236
9,1101,238
9,1119,239
9,1018,240
9,1174,241
9,1175,242
9,1024,243
9,1024,244
9,1126,245
9,1045,246
9,1052,247
9,1062,248
9,1046,249
9,1148,250
9,1075,251
9,1118,252
9,1081,254
9,1180,255
9,1092,256
9,1013,257
9,1162,258
9,1017,260
9,1123,261
9,1087,263
9,1109,264
9,1047,265
9,1104,267
9,1048,268
9,1138,270
9,1078,271
9,1022,272
9,1049,273
9,1050,274
9,1167,275
9,1127,276
9,1065,277
9,1008,278
9,1087,279
9,1051,280
9,1058,281
9,1052,282
9,1053,283
9,1100,284
9,1054,285
9,1178,286
9,1085,287
9,1015,289
9,1055,290
9,1060,291
9,1086,292
9,1008,293
9,1036,294
9,1056,295
9,1057,296
9,1148,297
9,1058,299
9,1059,300
9,1178,301
9,1099,302
9,1067,303
9,1096,304
9,1168,306
9,1167,307
9,1139,309
9,1062,310
9,1155,311
9,1060,312
9,1170,313
9,1024,314
9,1026,315
9,1140,316
9,1116,317
9,1172,318
9,1142,319
9,1115,321
9,1119,322
9,1143,323
9,1114,324
9,1037,325
9,1115,326
9,1119,327
9,1110,328
9,1062,329
9,1154,330
9,1043,331
9,1068,332
9,1067,333
9,1062,334
9,1081,335
9,1050,337
9,1004,338
9,1010,339
9,1137,340
9,1061,343
9,1090,344
9,1129,345
9,1178,346
9,1062,347
9,1087,348
9,1065,349
9,1108,351
9,1109,352
9,1108,354
9,1012,355
9,1010,356
9,1166,357
9,1141,358
9,1063,360
9,1043,363
9,1146,364
9,1049,365
9,1165,366
9,1049,369
9,1047,370
9,1097,371
9,1064,373
9,1172,374
9,1114,376
9,1068,377
9,1002,378
9,1161,379
9,1091,380
9,1014,381
9,1019,382
9,1065,383
9,1098,384
9,1076,385
9,1055,386
9,1060,387
9,1066,388
9,1019,389
9,1153,390
9,1170,391
9,1002,392
9,1014,393
9,1153,394
9,1016,395
9,1153,396
9,1149,397
9,1051,398
9,1098,399
9,1130,400
9,1142,401
9,1060,402
9,1125,403
9,1044,404
9,1039,405
9,1010,406
9,1120,407
9,1067,408
9,1127,410
9,1051,411
9,1122,412
9,1009,413
9,1068,415
9,1049,416
9,1107,417
9,1066,418
9,1008,419
9,1179,420
9,1174,421
9,1172,422
9,1091,423
9,1047,424
9,1172,425
9,1019,426
9,1069,429
9,1070,430
9,1092,431
9,1006,432
9,1063,433
9,1071,434
9,1079,436
9,1066,437
9,1072,439
9,1073,440
9,1071,441
9,1074,442
9,1075,443
9,1044,444
9,1057,445
9,1018,446
9,1011,447
9,1168,448
9,1010,449
9,1145,450
9,1123,451
9,1076,452
9,1077,453
9,1135,455
9,1000,456
9,1013,457
9,1138,458
9,1007,460
9,1043,461
9,1078,462
9,1052,463
9,1072,464
9,1079,465
9,1071,466
9,1065,468
9,1112,469
9,1037,470
9,1080,471
9,1026,472
9,1081,473
9,1026,474
9,1080,475
9,1142,476
9,1082,477
9,1177,478
9,1167,479
9,1083,480
9,1064,481
9,1084,482
9,1023,483
9,1079,484
9,1045,485
9,1064,486
9,1137,487
9,1092,488
9,1007,489
9,1126,490
9,1119,491
9,1103,492
9,1133,494
9,1092,495
9,1095,496
9,1085,497
9,1108,499
9,1170,500
9,1004,502
9,1153,503
9,1011,504
9,1121,505
9,1153,506
9,1180,507
9,1178,508
9,1086,509
9,1166,511
9,1036,512
9,1087,513
9,1051,514
9,1109,515
9,1088,516
9,1089,517
9,1006,518
9,1097,519
9,1090,520
9,1001,521
9,1104,523
9,1176,524
9,1091,525
9,1010,526
9,1092,527
9,1178,528
9,1119,529
9,1012,530
9,1093,531
9,1094,532
9,1064,533
9,1045,534
9,1171,535
9,1016,536
9,1062,537
9,1007,538
9,1129,539
9,1023,540
9,1167,541
9,1089,542
9,1020,543
9,1041,544
9,1118,545
9,1027,546
9,1091,547
9,1095,548
9,1155,549
9,1079,550
9,1103,551
9,1111,552
9,1137,553
9,1133,554
9,1013,556
9,1096,557
9,1180,558
9,1089,559
9,1055,560
9,1147,561
9,1131,562
9,1160,563
9,1097,564
9,1168,565
9,1152,566
9,1073,567
9,1118,568
9,1104,569
9,1054,570
9,1098,571
9,1092,572
9,1013,573
9,1170,574
9,1066,575
9,1075,576
9,1099,577
9,1050,578
9,1100,579
9,1175,580
9,1066,581
9,1101,582
9,1051,584
9,1173,585
9,1102,586
9,1133,587
9,1053,588
9,1013,589
9,1077,590
9,1128,591
9,1103,594
9,1016,595
9,1049,596
9,1066,597
9,1151,598
9,1092,599
9,1104,600
9,1020,601
9,1123,602
9,1105,603
9,1049,604
9,1060,605
9,1033,606
9,1146,607
9,1105,608
9,1005,610
9,1070,611
9,1172,613
9,1150,615
9,1106,616
9,1064,617
9,1113,618
9,1094,619
9,1052,620
9,1090,621
9,1033,622
9,1073,623
9,1114,624
9,1165,625
9,1107,626
9,1108,627
9,1109,628
9,1004,629
9,1013,630
9,1055,632
9,1110,633
9,1054,635
9,1042,637
9,1116,638
9,1037,639
9,1111,640
9,1090,641
9,1162,642
9,1112,644
9,1052,645
9,1088,647
9,1000,648
9,1113,649
9,1038,650
9,1009,651
9,1073,653
9,1114,654
9,1115,655
9,1116,656
9,1098,657
9,1037,658
9,1077,660
9,1108,661
9,1071,662
9,1064,663
9,1112,664
9,1144,665
9,1125,667
9,1117,669
9,1118,670
9,1022,672
9,1165,673
9,1154,674
9,1124,675
9,1119,676
9,1014,677
9,1060,678
9,1142,679
9,1032,680
9,1036,681
9,1034,682
9,1162,683
9,1024,684
9,1070,685
9,1068,687
9,1120,688
9,1064,689
9,1058,690
9,1176,691
9,1011,692
9,1024,693
9,1051,694
9,1147,695
9,1121,696
9,1122,697
9,1160,698
9,1037,699
9,1037,700
9,1123,701
9,1124,702
9,1145,703
9,1081,705
9,1117,706
9,1026,708
9,1085,710
9,1033,711
9,1038,712
9,1027,713
9,1055,715
9,1065,716
9,1034,717
9,1115,718
9,1068,719
9,1125,721
9,1148,722
9,1179,723
9,1153,724
9,1156,725
9,1024,726
9,1126,727
9,1063,728
9,1152,729
9,1082,731
9,1143,732
9,1086,733
9,1062,734
9,1141,735
9,1133,736
9,1132,737
9,1127,738
9,1128,739
9,1005,740
9,1000,741
9,1129,743
9,1084,745
9,1086,746
9,1094,750
9,1061,751
9,1024,752
9,1130,753
9,1076,754
9,1175,755
9,1112,756
9,1131,757
9,1132,759
9,1026,760
9,1120,761
9,1105,764
9,1035,765
9,1082,766
9,1163,767
9,1088,768
9,1167,769
9,1111,770
9,1133,771
9,1134,772
9,1037,773
9,1151,774
9,1135,775
9,1136,776
9,1178,778
9,1064,779
9,1071,780
9,1144,782
9,1137,783
9,1162,786
9,1058,787
9,1051,788
9,1179,789
9,1050,790
9,1168,791
9,1175,792
9,1026,793
9,1117,794
9,1138,795
9,1080,796
9,1094,797
9,1043,798
9,1137,799
9,1139,800
9,1010,801
9,1051,802
9,1049,803
9,1057,805
9,1161,806
9,1006,807
9,1061,808
9,1176,809
9,1148,810
9,1078,811
9,1140,813
9,1125,814
9,1066,816
9,1054,818
9,1141,819
9,1078,820
9,1043,821
9,1142,822
9,1120,823
9,1020,824
9,1143,825
9,1144,826
9,1035,827
9,1043,828
9,1022,829
9,1126,830
9,1021,831
9,1145,832
9,1013,833
9,1146,834
9,1146,835
9,1110,836
9,1150,837
9,1147,838
9,1148,839
9,1149,840
9,1059,841
9,1020,843
9,1003,844
9,1097,845
9,1096,846
9,1150,847
9,1135,848
9,1174,849
9,1151,852
9,1105,853
9,1068,854
9,1022,855
9,1144,856
9,1151,858
9,1079,860
9,1152,862
9,1108,864
9,1126,865
9,1064,866
9,1079,867
9,1046,868
9,1153,869
9,1087,870
9,1010,871
9,1007,872
9,1144,873
9,1154,874
9,1107,875
9,1167,876
9,1155,877
9,1022,878
9,1175,879
9,1125,880
9,1151,881
9,1041,882
9,1046,883
9,1156,884
9,1069,885
9,1072,886
9,1081,887
9,1157,888
9,1144,889
9,1021,890
9,1168,891
9,1118,892
9,1002,893
9,1158,895
9,1168,896
9,1148,897
9,1096,898
9,1070,899
9,1159,900
9,1016,901
9,1079,902
9,1167,903
9,1146,904
9,1097,905
9,1160,906
9,1161,908
9,1068,909
9,1150,910
9,1147,911
9,1120,912
9,1146,913
9,1066,914
9,1146,915
9,1043,916
9,1010,917
9,1080,918
9,1057,919
9,1048,920
9,1061,921
9,1022,922
9,1162,923
9,1002,924
9,1127,925
